"time","_geo","geo","value","unit","_unit","age","_age","wstatus","_wstatus","sex","_sex","deg_urb","_deg_urb","_flag"
2018,"CZ","Czechia",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"CZ","Czechia",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2020,"CZ","Czechia",3.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2005,"DE","Germany",6.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2006,"DE","Germany",7.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2007,"DE","Germany",6.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"DE","Germany",6.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2009,"DE","Germany",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"DE","Germany",7.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2011,"DE","Germany",7.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2012,"DE","Germany",6.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"DE","Germany",5.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2014,"DE","Germany",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"DE","Germany",5.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"DE","Germany",5.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2017,"DE","Germany",5.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2018,"DE","Germany",6.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"DE","Germany",6.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2020,"DE","Germany",6.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bp"
2005,"DK","Denmark",4.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2006,"DK","Denmark",6.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2007,"DK","Denmark",9.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2008,"DK","Denmark",8.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2009,"DK","Denmark",7.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"DK","Denmark",6.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"DK","Denmark",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"DK","Denmark",4.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"DK","Denmark",3.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2014,"DK","Denmark",3.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2015,"DK","Denmark",4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"DK","Denmark",2.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2017,"DK","Denmark",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2018,"DK","Denmark",4.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"DK","Denmark",5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2020,"DK","Denmark",3.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2005,"EA19","Euro area (19 countries)",11.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"EA19","Euro area (19 countries)",11.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2007,"EA19","Euro area (19 countries)",11.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"EA19","Euro area (19 countries)",10.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"EA19","Euro area (19 countries)",8.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"EA19","Euro area (19 countries)",8.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"EA19","Euro area (19 countries)",7.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"EA19","Euro area (19 countries)",6.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"EA19","Euro area (19 countries)",5.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2014,"EA19","Euro area (19 countries)",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"EA19","Euro area (19 countries)",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"EA19","Euro area (19 countries)",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2017,"EA19","Euro area (19 countries)",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2018,"EA19","Euro area (19 countries)",5.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"EA19","Euro area (19 countries)",5.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2020,"EA19","Euro area (19 countries)",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2005,"EE","Estonia",7.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2006,"EE","Estonia",9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2007,"EE","Estonia",11.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"EE","Estonia",13.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"EE","Estonia",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2010,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2011,"EE","Estonia",5.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2012,"EE","Estonia",6.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2013,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2014,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2015,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2016,"EE","Estonia",6.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2017,"EE","Estonia",9.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2018,"EE","Estonia",10.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2019,"EE","Estonia",8.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2020,"EE","Estonia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2005,"EL","Greece",9.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"EL","Greece",11.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2007,"EL","Greece",10.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"EL","Greece",10.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2009,"EL","Greece",10.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2010,"EL","Greece",7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"EL","Greece",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"EL","Greece",3.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"EL","Greece",2.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2014,"EL","Greece",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"EL","Greece",2.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"EL","Greece",1.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2017,"EL","Greece",1.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2018,"EL","Greece",1.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2019,"EL","Greece",0.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2020,"EL","Greece",1.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2005,"ES","Spain",21,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2006,"ES","Spain",22.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2007,"ES","Spain",23.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"ES","Spain",21,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"ES","Spain",16.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"ES","Spain",13.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"ES","Spain",11,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"ES","Spain",9.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"ES","Spain",7.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2014,"ES","Spain",7.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"ES","Spain",8.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"ES","Spain",7.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2017,"ES","Spain",8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2018,"ES","Spain",9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"ES","Spain",9.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2020,"ES","Spain",6.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2005,"EU15","European Union - 15 countries (1995-2004)",11.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"EU15","European Union - 15 countries (1995-2004)",11.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2007,"EU15","European Union - 15 countries (1995-2004)",11.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"EU15","European Union - 15 countries (1995-2004)",10.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"EU15","European Union - 15 countries (1995-2004)",8.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"EU15","European Union - 15 countries (1995-2004)",8.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"EU15","European Union - 15 countries (1995-2004)",7.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"EU15","European Union - 15 countries (1995-2004)",6.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"EU15","European Union - 15 countries (1995-2004)",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2014,"EU15","European Union - 15 countries (1995-2004)",5.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"EU15","European Union - 15 countries (1995-2004)",5.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"EU15","European Union - 15 countries (1995-2004)",5.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2017,"EU15","European Union - 15 countries (1995-2004)",5.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2018,"EU15","European Union - 15 countries (1995-2004)",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"EU15","European Union - 15 countries (1995-2004)",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2005,"EU27_2020","European Union - 27 countries (from 2020)",10.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"EU27_2020","European Union - 27 countries (from 2020)",9.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2007,"EU27_2020","European Union - 27 countries (from 2020)",9.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"EU27_2020","European Union - 27 countries (from 2020)",9.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"EU27_2020","European Union - 27 countries (from 2020)",7.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"EU27_2020","European Union - 27 countries (from 2020)",7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"EU27_2020","European Union - 27 countries (from 2020)",6.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"EU27_2020","European Union - 27 countries (from 2020)",5.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"EU27_2020","European Union - 27 countries (from 2020)",4.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2014,"EU27_2020","European Union - 27 countries (from 2020)",4.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"EU27_2020","European Union - 27 countries (from 2020)",4.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"EU27_2020","European Union - 27 countries (from 2020)",4.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2017,"EU27_2020","European Union - 27 countries (from 2020)",4.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2018,"EU27_2020","European Union - 27 countries (from 2020)",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"EU27_2020","European Union - 27 countries (from 2020)",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2020,"EU27_2020","European Union - 27 countries (from 2020)",4.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2005,"EU28","European Union - 28 countries (1993-2020)",10.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"EU28","European Union - 28 countries (1993-2020)",10,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2007,"EU28","European Union - 28 countries (1993-2020)",10,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"EU28","European Union - 28 countries (1993-2020)",9.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"EU28","European Union - 28 countries (1993-2020)",7.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"EU28","European Union - 28 countries (1993-2020)",7.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"EU28","European Union - 28 countries (1993-2020)",6.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"EU28","European Union - 28 countries (1993-2020)",6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"EU28","European Union - 28 countries (1993-2020)",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2014,"EU28","European Union - 28 countries (1993-2020)",5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"EU28","European Union - 28 countries (1993-2020)",5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"EU28","European Union - 28 countries (1993-2020)",5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2017,"EU28","European Union - 28 countries (1993-2020)",5.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2018,"EU28","European Union - 28 countries (1993-2020)",5.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"EU28","European Union - 28 countries (1993-2020)",5.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2005,"FI","Finland",8.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"FI","Finland",7.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2007,"FI","Finland",6.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2008,"FI","Finland",5.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2009,"FI","Finland",5.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2010,"FI","Finland",5.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2011,"FI","Finland",4.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2012,"FI","Finland",3.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2013,"FI","Finland",4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2014,"FI","Finland",4.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"FI","Finland",2.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2016,"FI","Finland",2.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2017,"FI","Finland",3.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2018,"FI","Finland",2.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2019,"FI","Finland",2.8,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2020,"FI","Finland",3.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2005,"FR","France",7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"FR","France",6.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2007,"FR","France",7.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"FR","France",7.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"FR","France",6.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"FR","France",6.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"FR","France",5.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"FR","France",5.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2013,"FR","France",4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2014,"FR","France",3.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2015,"FR","France",3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2016,"FR","France",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2017,"FR","France",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2018,"FR","France",3.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2019,"FR","France",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2020,"FR","France",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2005,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2006,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2007,"HR","Croatia",1.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2008,"HR","Croatia",1.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2009,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2010,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2011,"HR","Croatia",1.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2012,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2013,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2014,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2016,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2017,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2018,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2019,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2020,"HR","Croatia",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2005,"HU","Hungary",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"HU","Hungary",4.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2007,"HU","Hungary",4.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2008,"HU","Hungary",4.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"HU","Hungary",3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2010,"HU","Hungary",3.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2011,"HU","Hungary",3.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2012,"HU","Hungary",2.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2013,"HU","Hungary",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2014,"HU","Hungary",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2015,"HU","Hungary",3.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2016,"HU","Hungary",5.2,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2017,"HU","Hungary",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2018,"HU","Hungary",3.3,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2019,"HU","Hungary",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2020,"HU","Hungary",2.9,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2005,"IE","Ireland",7.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2006,"IE","Ireland",8.1,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2007,"IE","Ireland",8.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","b"
2008,"IE","Ireland",6.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2009,"IE","Ireland",4.6,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1",
2010,"IE","Ireland",3.4,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2011,"IE","Ireland",2.7,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2012,"IE","Ireland",2.5,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2013,"IE","Ireland",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
2014,"IE","Ireland",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","bu"
2015,"IE","Ireland",,"Percentage","PC","18-24","Y18-24","Employed persons","EMP","Men","M","Cities","DEG1","u"
